outer_group,variant,control,term,coefficient_standardized,term_scale,coefficient_physical,validation_rmse,alpha,threshold
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,cubic_u,0.0024766521263123176,0.0873887734275776,0.02834062121680668,0.10276178674332022,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,boundary_normal,-9.594458040759689e-05,0.29216172333202456,-0.000328395449319559,0.10276178674332022,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,traction,0.0004579331542778813,83.85463620758348,5.461035608624674e-06,0.10276178674332022,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,stress_div,0.0015086980242030416,14.757997247207612,0.0001022291845520235,0.10276178674332022,100.0,0.0
cn03_5_8/island05,full_sparse_pde,kin_wrong_island,force_balance,-0.0014878218479118807,31.476983695862923,-4.72669764767654e-05,0.10276178674332022,100.0,0.0
cn03_5_8/island06,relaxation,real,u_prev,-0.044155107482765854,0.11493041423975522,-0.38418992722548023,0.08616717934443661,0.01,0.0
cn03_5_8/island06,relaxation,kin_time_shuffled,u_prev,-0.003457900329404358,0.11493041423975524,-0.030086903908576063,0.09511700472649014,100.0,0.0
cn03_5_8/island06,relaxation,kin_spatial_shifted,u_prev,-0.013069198335973862,0.11493041423975524,-0.11371401053780536,0.0951508783062553,100.0,0.0
cn03_5_8/island06,relaxation,kin_wrong_island,u_prev,-0.008066246720252001,0.11455621033045679,-0.07041300246388692,0.09533163085952061,100.0,0.0
cn03_5_8/island06,isotropic_pde,real,u_prev,-0.036283798994187676,0.11493041423975522,-0.31570232504771445,0.0861472577222242,0.01,0.0
cn03_5_8/island06,isotropic_pde,real,lap_u,0.012159215032852104,0.0007659758434060379,15.874149475503232,0.0861472577222242,0.01,0.0
cn03_5_8/island06,helmholtz_pde,real,u_prev,-0.0362659963412077,0.11493041423975522,-0.31554742564099314,0.08609220806500827,0.01,0.0
cn03_5_8/island06,helmholtz_pde,real,lap_u,0.009625105874871425,0.0007659758434060379,12.56580864491993,0.08609220806500827,0.01,0.0
cn03_5_8/island06,helmholtz_pde,real,grad_div_u,0.003836812883794787,0.0005972347127302827,6.424296515275614,0.08609220806500827,0.01,0.0
cn03_5_8/island06,helmholtz_pde,kin_time_shuffled,u_prev,-0.002303987425093148,0.11493041423975524,-0.020046803453495105,0.09515140083771481,100.0,0.0
cn03_5_8/island06,helmholtz_pde,kin_time_shuffled,lap_u,0.002935916554872945,0.0007659758434060379,3.8329101108696952,0.09515140083771481,100.0,0.0
cn03_5_8/island06,helmholtz_pde,kin_time_shuffled,grad_div_u,-0.0017262467722982972,0.0005972347127302827,-2.890399260965074,0.09515140083771481,100.0,0.0
cn03_5_8/island06,helmholtz_pde,kin_spatial_shifted,u_prev,-0.021947675168654764,0.11493041423975524,-0.19096490092578913,0.09529193623325492,100.0,0.0
cn03_5_8/island06,helmholtz_pde,kin_spatial_shifted,lap_u,-0.013279017080408616,0.0007659758434060379,-17.33607814753175,0.09529193623325492,100.0,0.0
cn03_5_8/island06,helmholtz_pde,kin_spatial_shifted,grad_div_u,-0.0006634124563128847,0.0005972347127302827,-1.1108069276148866,0.09529193623325492,100.0,0.0
cn03_5_8/island06,helmholtz_pde,kin_wrong_island,u_prev,-0.014344362839792157,0.11455621033045679,-0.12521680665250198,0.09529205710931264,100.0,0.03
cn03_5_8/island06,helmholtz_pde,kin_wrong_island,lap_u,-0.009754278488276551,0.0007626031161436546,-12.790766627865573,0.09529205710931264,100.0,0.03
cn03_5_8/island06,advective_pde,real,u_prev,-0.03175873026236322,0.11493041423975522,-0.276330077398935,0.08515892883321122,0.01,0.0
cn03_5_8/island06,advective_pde,real,lap_u,0.007746156979813558,0.0007659758434060379,10.112795392305054,0.08515892883321122,0.01,0.0
cn03_5_8/island06,advective_pde,real,grad_div_u,0.00307612672965776,0.0005972347127302827,5.150616104672018,0.08515892883321122,0.01,0.0
cn03_5_8/island06,advective_pde,real,advect_v_u,-0.00594663217290425,0.0026070802964004948,-2.2809547450895775,0.08515892883321122,0.01,0.0
cn03_5_8/island06,advective_pde,real,advect_u_u,0.0010878822484843248,0.0036918041740406707,0.2946749603172046,0.08515892883321122,0.01,0.0
cn03_5_8/island06,advective_pde,real,cubic_u,-0.009323722144757842,0.08934422320006423,-0.10435730269745229,0.08515892883321122,0.01,0.0
cn03_5_8/island06,advective_pde,kin_time_shuffled,u_prev,-0.0038817229231788947,0.11493041423975524,-0.03377454913789199,0.09514537840165112,100.0,0.0
cn03_5_8/island06,advective_pde,kin_time_shuffled,lap_u,0.003586312201755254,0.0007659758434060379,4.682017367294672,0.09514537840165112,100.0,0.0
cn03_5_8/island06,advective_pde,kin_time_shuffled,grad_div_u,-0.0014421796365493187,0.0005972347127302827,-2.414761911537821,0.09514537840165112,100.0,0.0
cn03_5_8/island06,advective_pde,kin_time_shuffled,advect_v_u,0.0003689993818509019,0.0026070802964004943,0.14153740579466104,0.09514537840165112,100.0,0.0
