objective_name,variant,control,horizon,movies,component_rmse_mean,component_rmse_std,vector_rmse_mean,r2_mean,gain_percent_mean,movies_improved,delta_ci_low,delta_ci_high,sign_flip_two_sided_p,sign_flip_one_sided_p,holm_p
h1_strict,active_advective,wrong_cell,6,6,8.094199592978454,0.7740822203588908,11.446926840944917,0.8653551627222926,-3.6294055861746233,0,-0.3433257633073647,-0.23568546976855723,0.03125,1.0,1.0
h1_strict,forced_potential,real,1,6,3.469582141468058,0.3870775959077586,4.9067301202316145,0.5091979254411071,0.24681920591562068,3,-0.023111040027909018,0.051618183979228904,0.5625,0.28125,0.28125
h1_strict,forced_potential,real,2,6,4.368381669574014,0.5502605571918495,6.177824602733595,0.7601971356741591,7.004876251691461,6,0.28550538222649174,0.36430327017251235,0.03125,0.015625,0.0625
h1_strict,forced_potential,real,4,6,5.717315214924185,0.754646139438798,8.08550471730783,0.8730928267653942,11.949169159942736,6,0.6517597013410108,0.8751427999921625,0.03125,0.015625,0.0625
h1_strict,forced_potential,real,6,6,6.754013450812336,0.8772908946112751,9.551617422589112,0.9061102988411643,13.738101523817603,6,0.8949565199434059,1.2255965097234165,0.03125,0.015625,0.0625
h1_strict,forced_potential,stale_time,1,6,3.55364764850251,0.42825459415390665,5.025616700407507,0.48561128166772605,-2.082470662518425,0,-0.08717644404233711,-0.05389405593056207,0.03125,1.0,1.0
h1_strict,forced_potential,stale_time,2,6,4.752480616441782,0.5008973953946827,6.721022542687216,0.7159191783332614,-1.3571618857465992,1,-0.09839807851287337,-0.021690698274875835,0.0625,0.984375,1.0
h1_strict,forced_potential,stale_time,4,6,6.05356009033565,0.7199025637960643,8.561026780393172,0.8578155136183575,6.681097652889991,6,0.3671310268250078,0.4868198270091191,0.03125,0.015625,0.0625
h1_strict,forced_potential,stale_time,6,6,7.04194987793651,0.8465845409345181,9.958821022929374,0.8980282360606164,10.004107928464242,6,0.6476417455740207,0.8944154530686315,0.03125,0.015625,0.0625
h1_strict,forced_potential,wrong_cell,1,6,3.5159612678047423,0.3997342276036632,4.972320109707968,0.49617797906442984,-1.068396216847945,2,-0.06999223603294391,0.002522312377648106,0.21875,0.90625,1.0
h1_strict,forced_potential,wrong_cell,2,6,4.807352660308169,0.5227755532108074,6.798623331318191,0.7093868197907698,-2.4949184125653754,0,-0.15099898869507156,-0.0838829342190041,0.03125,1.0,1.0
h1_strict,forced_potential,wrong_cell,4,6,6.668199830695599,0.6710134219257555,9.430258637183691,0.8274227007412227,-2.94940808476313,0,-0.24132563688714237,-0.14591920136905667,0.03125,1.0,1.0
h1_strict,forced_potential,wrong_cell,6,6,8.071732064203315,0.7481130275443957,11.415152957038103,0.8660625021491973,-3.366727699680363,0,-0.3293502115468893,-0.20960854434438744,0.03125,1.0,1.0
h1_strict,legacy_dense,real,1,6,3.4743735539609104,0.37777356241136023,4.913506200761929,0.5077326421395097,0.08100806624961872,4,-0.03894764583221755,0.05751807889487045,0.84375,0.421875,0.421875
h1_strict,legacy_dense,real,2,6,4.386432118842225,0.5300500290500706,6.203351792895627,0.7580525595068085,6.57663636453513,6,0.262156837752864,0.3478162965612778,0.03125,0.015625,0.0625
h1_strict,legacy_dense,real,4,6,5.733410335143067,0.7150817835279705,8.108266654609398,0.8721906212630041,11.6358906942337,6,0.6158888247309139,0.8701108196886334,0.03125,0.015625,0.0625
h1_strict,legacy_dense,real,6,6,6.7846380047434645,0.8353324822226046,9.594927082100144,0.9050428519157294,13.280449335117476,6,0.8240478949098713,1.2153314999768352,0.03125,0.015625,0.0625
h1_strict,legacy_dense,stale_time,1,6,3.565812418011601,0.42940679858481856,5.042820282430406,0.4823104480782447,-2.4378987984056986,0,-0.11133753996493165,-0.054055983915675045,0.03125,1.0,1.0
h1_strict,legacy_dense,stale_time,2,6,4.767351655335728,0.4928896624977271,6.742053367577611,0.7141759711674843,-1.6947027904991516,0,-0.13422616504061372,-0.020910021328631807,0.03125,1.0,1.0
h1_strict,legacy_dense,stale_time,4,6,6.091226193761551,0.6931877993701397,8.614294694699831,0.8559388340665474,6.0536201935100635,6,0.2976398219093112,0.47235044049939184,0.03125,0.015625,0.0625
h1_strict,legacy_dense,stale_time,6,6,7.108213450973497,0.8260857410183204,10.052531866609579,0.8959496216326911,9.112673847039686,6,0.535197524468725,0.8591293631967245,0.03125,0.015625,0.0625
h1_strict,legacy_dense,wrong_cell,1,6,3.523717691980347,0.38411333125339725,4.983289349972628,0.4938062923296642,-1.3395397774913647,2,-0.09184162235070754,0.010049172183300703,0.28125,0.875,1.0
h1_strict,legacy_dense,wrong_cell,2,6,4.821360993464529,0.5105536643116886,6.818434106054156,0.7077456132948982,-2.826165318659496,0,-0.18998140399824,-0.07399076059530148,0.03125,1.0,1.0
h1_strict,legacy_dense,wrong_cell,4,6,6.6889110305421555,0.6477943122650062,9.459548696899715,0.8264364399020595,-3.313416545802188,0,-0.309048813679386,-0.12081908799828882,0.03125,1.0,1.0
h1_strict,legacy_dense,wrong_cell,6,6,8.114268733540795,0.7266268141295074,11.475308891713352,0.8647291329726722,-3.954943547541948,0,-0.44091593611512225,-0.17745502959340964,0.03125,1.0,1.0
h1_strict,no_update,no_update,1,6,3.483013707781548,0.43705543570803357,4.925725223476065,0.5059191051218614,0.0,0,0.0,0.0,1.0,1.0,1.0
h1_strict,no_update,no_update,2,6,4.692148016038391,0.5283004496556831,6.6356993609435015,0.7232227225122462,0.0,0,0.0,0.0,1.0,1.0,1.0
h1_strict,no_update,no_update,4,6,6.4798812774111765,0.6812862143374456,9.16393598508238,0.8370813057016641,0.0,0,0.0,0.0,1.0,1.0,1.0
h1_strict,no_update,no_update,6,6,7.8120400713591165,0.761255921746067,11.047893018718142,0.8746039002712102,0.0,0,0.0,0.0,1.0,1.0,1.0
h1_strict,self_memory,real,1,6,3.5109476414352163,0.44416391157299573,4.965229771299514,0.4977527463276757,-0.79465269390186,1,-0.044791428661455024,-0.01152148432718647,0.0625,0.984375,0.984375
h1_strict,self_memory,real,2,6,4.525526363292289,0.5519811819641148,6.400060759844947,0.7427793529440607,3.633791304384254,6,0.14565811034638276,0.19783974614633007,0.03125,0.015625,0.0625
h1_strict,self_memory,real,4,6,6.105841276718006,0.7404435082808764,8.634963543232056,0.8555677268750982,5.902158629918124,6,0.3288533498548765,0.44389964976568547,0.03125,0.015625,0.0625
h1_strict,self_memory,real,6,6,7.286806452068563,0.8412833370103646,10.305100510903136,0.891101331423069,6.857655669769074,6,0.46569614826282024,0.6188391876701361,0.03125,0.015625,0.0625
